Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,Country,Season
I2,2000-09-01,Torino,Ancona,0,2,A,0,1,A,,,,,,,1.3,4.0,8.0,IT,2000/2001
I2,2000-09-03,Cagliari,Crotone,4,0,H,2,0,H,,,,1.35,3.2,7.0,1.4,3.25,8.5,IT,2000/2001
I2,2000-09-03,Chievo,Genoa,1,0,H,1,0,H,,,,2.5,2.3,2.9,2.5,2.45,3.0,IT,2000/2001
I2,2000-09-03,Cittadella,Piacenza,0,2,A,0,2,A,,,,3.7,2.4,1.9,3.5,2.65,2.1,IT,2000/2001
I2,2000-09-03,Cosenza,Pescara,1,0,H,1,0,H,,,,1.9,2.3,3.8,2.15,2.55,3.55,IT,2000/2001
I2,2000-09-03,Empoli,Pistoiese,0,2,A,0,1,A,,,,1.7,2.6,4.4,1.75,2.7,5.0,IT,2000/2001
I2,2000-09-03,Monza,Venezia,2,3,A,1,1,D,,,,2.9,2.3,2.5,3.1,2.45,2.45,IT,2000/2001
I2,2000-09-03,Ravenna,Salernitana,1,1,D,0,0,D,,,,2.5,2.3,2.9,2.35,2.5,3.2,IT,2000/2001
I2,2000-09-03,Sampdoria,Ternana,2,1,H,0,0,D,,,,1.6,2.7,5.0,1.55,2.9,6.8,IT,2000/2001
I2,2000-09-03,Siena,Treviso,2,0,H,1,0,H,,,,2.4,2.3,3.0,2.3,2.4,3.5,IT,2000/2001
I2,2000-09-10,Ancona,Monza,1,0,H,0,0,D,,,,1.8,2.5,4.0,1.9,2.55,4.5,IT,2000/2001
I2,2000-09-10,Crotone,Ravenna,2,1,H,1,0,H,,,,2.5,2.3,2.9,2.35,2.5,3.2,IT,2000/2001
I2,2000-09-10,Genoa,Siena,1,1,D,1,1,D,,,,1.5,2.9,5.5,1.45,3.25,7.0,IT,2000/2001
I2,2000-09-10,Pescara,Empoli,1,3,A,0,2,A,,,,1.7,2.5,4.5,1.75,2.6,5.5,IT,2000/2001
I2,2000-09-10,Piacenza,Cosenza,2,0,H,2,0,H,,,,1.5,2.9,5.5,1.4,3.45,7.5,IT,2000/2001
I2,2000-09-10,Pistoiese,Torino,1,1,D,0,1,A,,,,2.7,2.5,2.5,3.0,2.45,2.5,IT,2000/2001
I2,2000-09-10,Ternana,Chievo,1,0,H,0,0,D,,,,1.8,2.4,4.2,1.8,2.6,5.0,IT,2000/2001
I2,2000-09-10,Treviso,Cagliari,2,3,A,1,1,D,,,,2.6,2.3,2.6,2.6,2.45,2.9,IT,2000/2001
I2,2000-09-10,Venezia,Cittadella,2,2,D,1,1,D,,,,1.25,3.8,9.0,1.3,3.9,9.0,IT,2000/2001
I2,2000-09-11,Salernitana,Sampdoria,2,3,A,0,1,A,,,,2.1,2.4,3.4,2.2,2.55,3.4,IT,2000/2001
I2,2000-09-15,Chievo,Treviso,2,1,H,1,0,H,,,,2.0,2.3,3.9,2.0,2.4,4.5,IT,2000/2001
I2,2000-09-17,Cagliari,Pescara,2,1,H,0,1,A,,,,1.55,2.9,5.2,1.5,3.15,6.5,IT,2000/2001
I2,2000-09-17,Cittadella,Ternana,3,1,H,1,1,D,,,,2.8,2.5,2.4,2.35,2.5,3.2,IT,2000/2001
I2,2000-09-17,Cosenza,Crotone,3,0,H,2,0,H,,,,1.7,2.6,4.5,1.65,2.65,6.5,IT,2000/2001
I2,2000-09-17,Empoli,Genoa,0,0,D,0,0,D,,,,2.2,2.6,3.0,2.3,2.4,3.5,IT,2000/2001
I2,2000-09-17,Siena,Ancona,4,1,H,2,1,H,,,,2.1,2.5,3.2,2.05,2.45,4.1,IT,2000/2001
I2,2000-09-20,Monza,Salernitana,1,0,H,1,0,H,,,,2.4,2.7,2.6,2.4,2.4,3.3,IT,2000/2001
I2,2000-09-20,Ravenna,Piacenza,0,2,A,0,0,D,,,,2.7,2.6,2.4,2.75,2.4,2.8,IT,2000/2001
I2,2000-09-20,Sampdoria,Pistoiese,2,2,D,1,1,D,,,,1.4,3.1,6.5,1.35,3.7,8.0,IT,2000/2001
I2,2000-09-20,Torino,Venezia,0,1,A,0,1,A,,,,2.0,2.5,3.5,2.0,2.5,4.2,IT,2000/2001
I2,2000-09-24,Crotone,Chievo,0,2,A,0,0,D,,,,2.3,2.6,2.7,2.05,2.5,4.0,IT,2000/2001
I2,2000-09-24,Pescara,Monza,1,2,A,0,1,A,,,,1.45,3.0,5.5,1.7,2.7,5.5,IT,2000/2001
I2,2000-09-24,Pistoiese,Cittadella,0,1,A,0,0,D,,,,1.8,2.6,4.0,1.75,2.6,5.5,IT,2000/2001
I2,2000-09-24,Ternana,Empoli,2,0,H,2,0,H,,,,2.4,2.8,2.5,,,,IT,2000/2001
I2,2000-09-25,Genoa,Ravenna,1,1,D,0,0,D,,,,1.7,2.7,4.3,1.8,2.6,5.0,IT,2000/2001
